"Inc_ID","UOF","Date","Beat","Cad","Inc_RD","longitude","latitude","Incident_ID","Force_Type","Force_Type_Level"
7305,"13F-0449","6/30/2013",30,70,"13-032810",-122.1743735,37.7640315,7305,22,4
7305,"13F-0449","6/30/2013",30,70,"13-032810",-122.1743735,37.7640315,7305,22,4
7305,"13F-0449","6/30/2013",30,70,"13-032810",-122.1743735,37.7640315,7305,22,4
7306,"13F-0451","6/30/2013",32,117,"13-033201",-122.158304,37.749632,7306,22,4
7307,"13F-0455","6/30/2013",19,98,"13-033206",-122.2381902,37.7754005,7307,22,4
7307,"13F-0455","6/30/2013",19,98,"13-033206",-122.2381902,37.7754005,7307,22,4
7307,"13F-0455","6/30/2013",19,98,"13-033206",-122.2381902,37.7754005,7307,22,4
7307,"13F-0455","6/30/2013",19,98,"13-033206",-122.2381902,37.7754005,7307,22,4
7308,"13F-0456","6/30/2013",17,417,"13-033251",-122.2391257,37.8024325,7308,22,4
7308,"13F-0456","6/30/2013",17,417,"13-033251",-122.2391257,37.8024325,7308,22,4
7308,"13F-0456","6/30/2013",17,417,"13-033251",-122.2391257,37.8024325,7308,22,4
7309,"13F-0444","6/30/2013",3,647,"13-033317",-122.2772786,37.8002206,7309,25,4
7309,"13F-0444","6/30/2013",3,647,"13-033317",-122.2772786,37.8002206,7309,25,4
7310,"13F-0434","7/1/2013",26,57,"13-033375",-122.19715,37.7633719,7310,22,4
7311,"13F-0450","7/1/2013",34,232,"13-033397",-122.1757022,37.757493,7311,22,4
7311,"13F-0450","7/1/2013",34,232,"13-033397",-122.1757022,37.757493,7311,22,4
7311,"13F-0450","7/1/2013",34,232,"13-033397",-122.1757022,37.757493,7311,22,4
7312,"13F-0474","7/1/2013",31,254,"13-033403",-122.1642024,37.7231912,7312,22,4
7313,"13F-0448","7/1/2013",20,660,"13-033484",-122.228363,37.7814902,7313,22,4
7313,"13F-0448","7/1/2013",20,660,"13-033484",-122.228363,37.7814902,7313,22,4
7314,"13F-0461","7/1/2013",14,940,"13-024152",-122.2497457,37.8093647,7314,22,4
7314,"13F-0461","7/1/2013",14,940,"13-024152",-122.2497457,37.8093647,7314,22,4
7315,"13F-0457","7/2/2013",34,78,"13-033552",-122.2711137,37.8043637,7315,22,4
7315,"13F-0457","7/2/2013",34,78,"13-033552",-122.2711137,37.8043637,7315,22,4
7315,"13F-0457","7/2/2013",34,78,"13-033552",-122.2711137,37.8043637,7315,22,4
7316,"13F-0458","7/2/2013",2,178,"13-033538",-122.2852708,37.8037163,7316,22,4
7316,"13F-0458","7/2/2013",2,178,"13-033538",-122.2852708,37.8037163,7316,22,4
7316,"13F-0458","7/2/2013",2,178,"13-033538",-122.2852708,37.8037163,7316,22,4
7317,"13F-0462","7/2/2013",27,351,"13-033607",-122.204526,37.7687079,7317,22,4
7317,"13F-0462","7/2/2013",27,351,"13-033607",-122.204526,37.7687079,7317,22,4
7318,"13F-0484","7/2/2013",31,456,"13-033635",-122.198942,37.7264021,7318,22,4
7318,"13F-0484","7/2/2013",31,456,"13-033635",-122.198942,37.7264021,7318,22,4
